Date,Time,Description,Transaction ID,Amount
"Aug 01, 2026",11:19 AM,Paid to Karan Bro,720426286364,-45.08
"Aug 01, 2026",8:19 PM,Paid to Hasan Bhai,315962135605,-750.08
"Aug 01, 2026",8:29 PM,Paid to Sanjay Uncle,296302151874,-75000.00
"Aug 01, 2026",12:37 PM,Paid to Amazon Pay,342601659275,-1591.32
"Aug 02, 2026",11:31 AM,Paid to Arjun Gym,577497923564,-45.19
"Aug 02, 2026",10:06 AM,Received from Arjun Gym,989689563902,320.78
"Aug 03, 2026",3:45 PM,Paid to Blinkit,298497425546,-979.17
"Aug 04, 2026",1:56 PM,Paid to Karan Bro,522739572552,-299.99
"Aug 05, 2026",4:24 PM,Paid to Sanjay Uncle,673549503741,-750.41
"Aug 05, 2026",12:22 PM,Received from Hasan Bhai,353867515877,299.55
"Aug 05, 2026",4:11 PM,Received from Blinkit (Refund),465328837561,+351.17
"Aug 06, 2026",9:23 AM,Paid to Netflix,455929490116,-1114.37
"Aug 06, 2026",11:14 PM,Received from Hasan Bhai,844829864549,99.40
"Aug 07, 2026",8:42 AM,Paid to Zomato,232761401343,-1119.49
"Aug 07, 2026",4:01 PM,Paid to Netflix,722776364350,-1893.46
"Aug 07, 2026",9:35 AM,Received from Sanjay Uncle,733079174574,299.27
"Aug 07, 2026",10:59 PM,Received from Arjun Gym,481075427829,2000.40
"Aug 07, 2026",3:10 PM,Paid to Myntra,346774400818,-1858.21
"Aug 09, 2026",11:00 AM,Paid to Zomato,845591121498,-1481.23
"Aug 10, 2026",3:47 PM,Paid to Divya Roomie,942814175103,-299.51
"Aug 10, 2026",3:00 PM,Paid to Sanjay Uncle,492852849261,-3155.79
"Aug 12, 2026",7:25 PM,Paid to Sneha Di,814054955896,-320.57
"Aug 12, 2026",7:38 AM,Received from Netflix (Refund),380219111779,+1119.78
"Aug 12, 2026",8:24 AM,Paid to Netflix,866424110294,-2123.97
"Aug 12, 2026",3:12 PM,Paid to Vikram Landlord,356290588092,-2453.25
"Aug 13, 2026",9:29 AM,Received from Sneha Di,492240962809,2000.01
"Aug 13, 2026",9:16 AM,Paid to Sneha Di,420678652212,-320.18
"Aug 14, 2026",6:31 PM,Paid to Neha,960556952299,-2961.87
"Aug 14, 2026",10:17 AM,Paid to Ayesha,490531435917,-1178.43
"Aug 15, 2026",5:13 PM,Paid to Rohit Office,540291159942,-500.65
"Aug 15, 2026",3:04 PM,Paid to Fatima,688188127049,-1850.90
"Aug 15, 2026",9:53 AM,Paid to Arjun Gym,229885860543,-1274.58
"Aug 15, 2026",9:23 PM,Paid to Amazon Pay,289723236063,-2194.69
"Aug 15, 2026",10:20 PM,Paid to Neha,396110645852,-320.34
"Aug 15, 2026",5:44 PM,Paid to BigBasket,794765013885,-1370.27
"Aug 17, 2026",7:01 AM,Paid to Sanjay Uncle,929642754134,-250.00
"Aug 17, 2026",11:13 AM,Received from Hasan Bhai,418614875889,320.46
"Aug 17, 2026",12:45 PM,Paid to Rohit Office,959238203906,-250.00
"Aug 17, 2026",10:00 AM,Paid to Sneha Di,437599408804,-250.00
"Aug 17, 2026",4:38 PM,Paid to Arjun Gym,631530240036,-250.00
"Aug 17, 2026",11:19 PM,Paid to Rohit Office,282017931826,-250.00
"Aug 17, 2026",12:53 PM,Paid to Rohit Office,676729747396,-250.00
"Aug 17, 2026",10:27 AM,Paid to BigBasket,432162621292,-1636.77
